          Bruto        AliqINSS        Val.INSS       Base I.R.          AliqIR          Val.IR         Liquido 
        1996.97             9.0          179.73         1817.24             0.0            0.00         1817.24
        2000.40             9.0          180.04         1820.36             0.0            0.00         1820.36
        2000.55             9.0          180.05         1820.50             0.0            0.00         1820.50
        2030.50             9.0          182.75         1847.76             0.0            0.00         1847.76
        2036.99             9.0          183.33         1853.66             0.0            0.00         1853.66
        2043.99             9.0          183.96         1860.03             0.0            0.00         1860.03
        2047.37             9.0          184.26         1863.11             0.0            0.00         1863.11
        2047.95             9.0          184.32         1863.63             0.0            0.00         1863.63
        2050.44             9.0          184.54         1865.90             0.0            0.00         1865.90
        2051.05             9.0          184.59         1866.46             0.0            0.00         1866.46
        2068.17             9.0          186.14         1882.03             0.0            0.00         1882.03
        2071.44             9.0          186.43         1885.01             0.0            0.00         1885.01
        2071.58             9.0          186.44         1885.14             0.0            0.00         1885.14
        2078.63             9.0          187.08         1891.55             0.0            0.00         1891.55
        2079.72             9.0          187.17         1892.55             0.0            0.00         1892.55
        2081.31             9.0          187.32         1893.99             0.0            0.00         1893.99
        2081.84             9.0          187.37         1894.47             0.0            0.00         1894.47
        2082.50             9.0          187.42         1895.08             0.0            0.00         1895.08
        2092.22             9.0          188.30         1903.92             0.0            0.00         1903.92
        2096.06             9.0          188.65         1907.41             7.5            0.00         1907.41
        2097.94             9.0          188.81         1909.13             7.5            0.00         1909.13
        2105.50             9.0          189.50         1916.01             7.5            0.00         1916.01
        2107.82             9.0          189.70         1918.12             7.5            0.00         1918.12
        2124.96             9.0          191.25         1933.71             7.5            0.00         1933.71
        2138.73             9.0          192.49         1946.24             7.5            0.00         1946.24
        2139.07             9.0          192.52         1946.55             7.5            0.00         1946.55
        2139.62             9.0          192.57         1947.05             7.5            0.00         1947.05
        2148.75             9.0          193.39         1955.36             7.5            0.00         1955.36
        2152.08             9.0          193.69         1958.39             7.5            0.00         1958.39
        2156.60             9.0          194.09         1962.51             7.5            0.00         1962.51
        2156.97             9.0          194.13         1962.84             7.5            0.00         1962.84
        2178.32             9.0          196.05         1982.27             7.5            0.00         1982.27
        2183.62             9.0          196.53         1987.09             7.5            0.00         1987.09
        2194.99             9.0          197.55         1997.44             7.5            0.00         1997.44
        2195.44             9.0          197.59         1997.85             7.5            0.00         1997.85
        2219.95             9.0          199.80         2020.15             7.5            0.00         2020.15
        2230.60             9.0          200.75         2029.85             7.5            0.00         2029.85
        2243.95             9.0          201.96         2041.99             7.5           10.35         2031.64
        2249.82             9.0          202.48         2047.34             7.5           10.75         2036.59
        2256.92             9.0          203.12         2053.80             7.5           11.23         2042.56
        2271.62             9.0          204.45         2067.17             7.5           12.24         2054.94
        2274.46             9.0          204.70         2069.76             7.5           12.43         2057.33
        2275.22             9.0          204.77         2070.45             7.5           12.48         2057.97
        2280.71             9.0          205.26         2075.45             7.5           12.86         2062.59
        2284.45             9.0          205.60         2078.85             7.5           13.11         2065.74
        2287.03             9.0          205.83         2081.20             7.5           13.29         2067.91
        2298.47             9.0          206.86         2091.61             7.5           14.07         2077.54
        2300.56             9.0          207.05         2093.51             7.5           14.21         2079.30
        2302.76             9.0          207.25         2095.51             7.5           14.36         2081.15
        2313.42             9.0          208.21         2105.21             7.5           15.09         2090.12
        2315.20             9.0          208.37         2106.83             7.5           15.21         2091.62
        2331.45             9.0          209.83         2121.62             7.5           16.32         2105.30
        2333.48             9.0          210.01         2123.47             7.5           16.46         2107.01
        2336.45             9.0          210.28         2126.17             7.5           16.66         2109.51
        2341.84             9.0          210.77         2131.07             7.5           17.03         2114.04
        2366.41             9.0          212.98         2153.43             7.5           18.71         2134.73
        2392.65             9.0          215.34         2177.31             7.5           20.50         2156.81
        2400.22             9.0          216.02         2184.20             7.5           21.02         2163.19
        2406.83             9.0          216.61         2190.22             7.5           21.47         2168.75
        2412.16             9.0          217.09         2195.07             7.5           21.83         2173.24
        2415.96             9.0          217.44         2198.52             7.5           22.09         2176.43
        2449.75             9.0          220.48         2229.27             7.5           24.40         2204.88
        2450.40             9.0          220.54         2229.86             7.5           24.44         2205.42
        2457.25             9.0          221.15         2236.10             7.5           24.91         2211.19
        2467.66             9.0          222.09         2245.57             7.5           25.62         2219.95
        2473.76             9.0          222.64         2251.12             7.5           26.03         2225.09
        2477.67             9.0          222.99         2254.68             7.5           26.30         2228.38
        2479.97             9.0          223.20         2256.77             7.5           26.46         2230.31
        2482.46             9.0          223.42         2259.04             7.5           26.63         2232.41
        2486.40             9.0          223.78         2262.62             7.5           26.90         2235.73
        2492.76             9.0          224.35         2268.41             7.5           27.33         2241.08
        2498.06             9.0          224.83         2273.23             7.5           27.69         2245.54
        2498.64             9.0          224.88         2273.76             7.5           27.73         2246.03
        2500.22             9.0          225.02         2275.20             7.5           27.84         2247.36
        2505.27             9.0          225.47         2279.80             7.5           28.18         2251.61
        2511.56             9.0          226.04         2285.52             7.5           28.61         2256.91
        2518.06             9.0          226.63         2291.43             7.5           29.06         2262.38
        2529.84             9.0          227.69         2302.15             7.5           29.86         2272.29
        2535.82             9.0          228.22         2307.60             7.5           30.27         2277.33
        2554.39             9.0          229.90         2324.49             7.5           31.54         2292.96
        2571.72             9.0          231.45         2340.27             7.5           32.72         2307.55
        2593.62             9.0          233.43         2360.19             7.5           34.21         2325.98
        2600.82             9.0          234.07         2366.75             7.5           34.71         2332.04
        2601.21             9.0          234.11         2367.10             7.5           34.73         2332.37
        2606.53             9.0          234.59         2371.94             7.5           35.10         2336.85
        2623.01             9.0          236.07         2386.94             7.5           36.22         2350.72
        2644.93             9.0          238.04         2406.89             7.5           37.72         2369.17
        2646.04             9.0          238.14         2407.90             7.5           37.79         2370.10
        2646.56             9.0          238.19         2408.37             7.5           37.83         2370.54
        2661.05             9.0          239.49         2421.56             7.5           38.82         2382.74
        2663.89             9.0          239.75         2424.14             7.5           39.01         2385.13
        2671.11             9.0          240.40         2430.71             7.5           39.50         2391.21
        2679.28             9.0          241.14         2438.14             7.5           40.06         2398.08
        2696.91             9.0          242.72         2454.19             7.5           41.26         2412.92
        2702.61             9.0          243.23         2459.38             7.5           41.65         2417.72
        2704.85             9.0          243.44         2461.41             7.5           41.81         2419.61
        2714.29             9.0          244.29         2470.00             7.5           42.45         2427.55
        2721.65             9.0          244.95         2476.70             7.5           42.95         2433.75
        2726.05             9.0          245.34         2480.71             7.5           43.25         2437.45
        2727.41             9.0          245.47         2481.94             7.5           43.35         2438.60
        2728.92             9.0          245.60         2483.32             7.5           43.45         2439.87
        2729.58             9.0          245.66         2483.92             7.5           43.49         2440.42
        2754.71             9.0          247.92         2506.79             7.5           45.21         2461.58
        2761.84             9.0          248.57         2513.27             7.5           45.70         2467.58
        2762.39             9.0          248.62         2513.77             7.5           45.73         2468.04
        2772.68             9.0          249.54         2523.14             7.5           46.44         2476.70
        2798.15             9.0          251.83         2546.32             7.5           48.17         2498.14
        2803.02             9.0          252.27         2550.75             7.5           48.51         2502.24
        2804.54             9.0          252.41         2552.13             7.5           48.61         2503.52
        2809.68             9.0          252.87         2556.81             7.5           48.96         2507.85
        2810.47             9.0          252.94         2557.53             7.5           49.01         2508.51
        2813.59             9.0          253.22         2560.37             7.5           49.23         2511.14
        2826.95             9.0          254.43         2572.52             7.5           50.14         2522.39
        2848.00             9.0          256.32         2591.68             7.5           51.58         2540.10
        2850.58             9.0          256.55         2594.03             7.5           51.75         2542.28
        2855.99             9.0          257.04         2598.95             7.5           52.12         2546.83
        2865.22             9.0          257.87         2607.35             7.5           52.75         2554.60
        2872.10             9.0          258.49         2613.61             7.5           53.22         2560.39
        2876.71             9.0          258.90         2617.81             7.5           53.54         2564.27
        2897.09             9.0          260.74         2636.35             7.5           54.93         2581.43
        2909.08             9.0          261.82         2647.26             7.5           55.74         2591.52
        2917.25             9.0          262.55         2654.70             7.5           56.30         2598.40
        2918.92             9.0          262.70         2656.22             7.5           56.42         2599.80
        2930.67            11.0          322.37         2608.30             7.5           52.82         2555.47
        2934.32            11.0          322.78         2611.54             7.5           53.07         2558.48
        2946.28            11.0          324.09         2622.19             7.5           53.86         2568.33
        2946.38            11.0          324.10         2622.28             7.5           53.87         2568.41
        2970.31            11.0          326.73         2643.58             7.5           55.47         2588.11
        2979.64            11.0          327.76         2651.88             7.5           56.09         2595.79
        2981.28            11.0          327.94         2653.34             7.5           56.20         2597.14
        2985.47            11.0          328.40         2657.07             7.5           56.48         2600.59
        2994.17            11.0          329.36         2664.81             7.5           57.06         2607.75
        2995.82            11.0          329.54         2666.28             7.5           57.17         2609.11
        2996.23            11.0          329.59         2666.64             7.5           57.20         2609.45
        2996.81            11.0          329.65         2667.16             7.5           57.24         2609.92
        2999.58            11.0          329.95         2669.63             7.5           57.42         2612.20
        3001.09            11.0          330.12         2670.97             7.5           57.52         2613.45
        3016.26            11.0          331.79         2684.47             7.5           58.54         2625.94
        3030.62            11.0          333.37         2697.25             7.5           59.49         2637.76
        3032.37            11.0          333.56         2698.81             7.5           59.61         2639.20
        3036.04            11.0          333.96         2702.08             7.5           59.86         2642.22
        3051.06            11.0          335.62         2715.44             7.5           60.86         2654.59
        3051.40            11.0          335.65         2715.75             7.5           60.88         2654.87
        3063.22            11.0          336.95         2726.27             7.5           61.67         2664.60
        3070.63            11.0          337.77         2732.86             7.5           62.16         2670.70
        3074.85            11.0          338.23         2736.62             7.5           62.45         2674.17
        3077.84            11.0          338.56         2739.28             7.5           62.65         2676.63
        3087.92            11.0          339.67         2748.25             7.5           63.32         2684.93
        3088.09            11.0          339.69         2748.40             7.5           63.33         2685.07
        3108.13            11.0          341.89         2766.24             7.5           64.67         2701.57
        3112.57            11.0          342.38         2770.19             7.5           64.96         2705.22
        3124.35            11.0          343.68         2780.67             7.5           65.75         2714.92
        3124.48            11.0          343.69         2780.79             7.5           65.76         2715.03
        3137.90            11.0          345.17         2792.73             7.5           66.65         2726.08
        3154.94            11.0          347.04         2807.90             7.5           67.79         2740.10
        3172.99            11.0          349.03         2823.96             7.5           69.00         2754.96
        3174.30            11.0          349.17         2825.13             7.5           69.08         2756.04
        3193.17            11.0          351.25         2841.92            15.0           71.49         2770.43
        3194.02            11.0          351.34         2842.68            15.0           71.60         2771.08
        3200.45            11.0          352.05         2848.40            15.0           72.46         2775.94
        3211.47            11.0          353.26         2858.21            15.0           73.93         2784.28
        3211.50            11.0          353.26         2858.24            15.0           73.94         2784.30
        3212.39            11.0          353.36         2859.03            15.0           74.05         2784.97
        3220.64            11.0          354.27         2866.37            15.0           75.16         2791.21
        3220.78            11.0          354.29         2866.49            15.0           75.17         2791.32
        3221.55            11.0          354.37         2867.18            15.0           75.28         2791.90
        3225.99            11.0          354.86         2871.13            15.0           75.87         2795.26
        3236.27            11.0          355.99         2880.28            15.0           77.24         2803.04
        3241.73            11.0          356.59         2885.14            15.0           77.97         2807.17
        3256.47            11.0          358.21         2898.26            15.0           79.94         2818.32
        3269.03            11.0          359.59         2909.44            15.0           81.62         2827.82
        3271.74            11.0          359.89         2911.85            15.0           81.98         2829.87
        3285.87            11.0          361.45         2924.42            15.0           83.86         2840.56
        3299.76            11.0          362.97         2936.79            15.0           85.72         2851.07
        3302.33            11.0          363.26         2939.07            15.0           86.06         2853.01
        3302.78            11.0          363.31         2939.47            15.0           86.12         2853.35
        3308.90            11.0          363.98         2944.92            15.0           86.94         2857.98
        3326.23            11.0          365.89         2960.34            15.0           89.25         2871.09
        3333.13            11.0          366.64         2966.49            15.0           90.17         2876.31
        3337.67            11.0          367.14         2970.53            15.0           90.78         2879.75
        3339.47            11.0          367.34         2972.13            15.0           91.02         2881.11
        3352.83            11.0          368.81         2984.02            15.0           92.80         2891.22
        3364.26            11.0          370.07         2994.19            15.0           94.33         2899.86
        3368.90            11.0          370.58         2998.32            15.0           94.95         2903.37
        3374.26            11.0          371.17         3003.09            15.0           95.66         2907.43
        3374.78            11.0          371.23         3003.55            15.0           95.73         2907.82
        3379.82            11.0          371.78         3008.04            15.0           96.41         2911.63
        3383.27            11.0          372.16         3011.11            15.0           96.87         2914.24
        3388.01            11.0          372.68         3015.33            15.0           97.50         2917.83
        3388.26            11.0          372.71         3015.55            15.0           97.53         2918.02
        3406.08            11.0          374.67         3031.41            15.0           99.91         2931.50
        3407.46            11.0          374.82         3032.64            15.0          100.10         2932.54
        3426.47            11.0          376.91         3049.56            15.0          102.63         2946.92
        3431.42            11.0          377.46         3053.96            15.0          103.29         2950.67
        3435.57            11.0          377.91         3057.66            15.0          103.85         2953.81
        3449.20            11.0          379.41         3069.79            15.0          105.67         2964.12
        3451.85            11.0          379.70         3072.15            15.0          106.02         2966.12
        3456.61            11.0          380.23         3076.38            15.0          106.66         2969.73
        3486.28            11.0          383.49         3102.79            15.0          110.62         2992.17
        3506.20            11.0          385.68         3120.52            15.0          113.28         3007.24
        3522.21            11.0          387.44         3134.77            15.0          115.42         3019.35
        3533.98            11.0          388.74         3145.24            15.0          116.99         3028.26
        3536.76            11.0          389.04         3147.72            15.0          117.36         3030.36
        3539.33            11.0          389.33         3150.00            15.0          117.70         3032.30
        3542.57            11.0          389.68         3152.89            15.0          118.13         3034.75
        3545.35            11.0          389.99         3155.36            15.0          118.50         3036.86
        3548.10            11.0          390.29         3157.81            15.0          118.87         3038.94
        3559.99            11.0          391.60         3168.39            15.0          120.46         3047.93
        3562.53            11.0          391.88         3170.65            15.0          120.80         3049.85
        3566.36            11.0          392.30         3174.06            15.0          121.31         3052.75
        3575.73            11.0          393.33         3182.40            15.0          122.56         3059.84
        3579.00            11.0          393.69         3185.31            15.0          123.00         3062.31
        3580.14            11.0          393.82         3186.32            15.0          123.15         3063.18
        3583.66            11.0          394.20         3189.46            15.0          123.62         3065.84
        3585.19            11.0          394.37         3190.82            15.0          123.82         3067.00
        3592.73            11.0          395.20         3197.53            15.0          124.83         3072.70
        3592.85            11.0          395.21         3197.64            15.0          124.85         3072.79
        3601.14            11.0          396.13         3205.01            15.0          125.95         3079.06
        3602.31            11.0          396.25         3206.06            15.0          126.11         3079.95
        3633.87            11.0          399.73         3234.14            15.0          130.32         3103.82
        3637.25            11.0          400.10         3237.15            15.0          130.77         3106.38
        3638.57            11.0          400.24         3238.33            15.0          130.95         3107.38
        3641.51            11.0          400.57         3240.94            15.0          131.34         3109.60
        3650.96            11.0          401.61         3249.35            15.0          132.60         3116.75
        3656.19            11.0          402.18         3254.01            15.0          133.30         3120.71
        3657.52            11.0          402.33         3255.19            15.0          133.48         3121.71
        3664.63            11.0          403.11         3261.52            15.0          134.43         3127.09
        3668.18            11.0          403.50         3264.68            15.0          134.90         3129.78
        3668.81            11.0          403.57         3265.24            15.0          134.99         3130.25
        3695.01            11.0          406.45         3288.56            15.0          138.48         3150.08
        3701.76            11.0          407.19         3294.57            15.0          139.38         3155.18
        3705.16            11.0          407.57         3297.59            15.0          139.84         3157.75
        3739.88            11.0          411.39         3328.49            15.0          144.47         3184.02
        3750.06            11.0          412.51         3337.55            15.0          145.83         3191.72
        3750.31            11.0          412.53         3337.78            15.0          145.87         3191.91
        3758.09            11.0          413.39         3344.70            15.0          146.91         3197.80
        3761.76            11.0          413.79         3347.97            15.0          147.39         3200.57
        3765.85            11.0          414.24         3351.61            15.0          147.94         3203.67
        3767.20            11.0          414.39         3352.81            15.0          148.12         3204.69
        3769.01            11.0          414.59         3354.42            15.0          148.36         3206.06
        3787.22            11.0          416.59         3370.63            15.0          150.79         3219.83
        3795.63            11.0          417.52         3378.11            15.0          151.92         3226.19
        3819.29            11.0          420.12         3399.17            15.0          155.08         3244.09
        3824.17            11.0          420.66         3403.51            15.0          155.73         3247.78
        3829.43            11.0          421.24         3408.19            15.0          156.43         3251.76
        3832.45            11.0          421.57         3410.88            15.0          156.83         3254.05
        3837.14            11.0          422.09         3415.05            15.0          157.46         3257.60
        3837.18            11.0          422.09         3415.09            15.0          157.46         3257.63
        3838.52            11.0          422.24         3416.28            15.0          157.64         3258.64
        3839.87            11.0          422.39         3417.48            15.0          157.82         3259.66
        3851.80            11.0          423.70         3428.10            15.0          159.42         3268.69
        3853.45            11.0          423.88         3429.57            15.0          159.64         3269.93
        3855.51            11.0          424.11         3431.40            15.0          159.91         3271.49
        3855.54            11.0          424.11         3431.43            15.0          159.91         3271.52
        3867.17            11.0          425.39         3441.78            15.0          161.47         3280.31
        3888.59            11.0          427.74         3460.85            15.0          164.33         3296.52
        3892.34            11.0          428.16         3464.18            15.0          164.83         3299.36
        3899.27            11.0          428.92         3470.35            15.0          165.75         3304.60
        3901.46            11.0          429.16         3472.30            15.0          166.04         3306.25
        3913.31            11.0          430.46         3482.85            15.0          167.63         3315.22
        3921.95            11.0          431.41         3490.54            15.0          168.78         3321.76
        3936.22            11.0          432.98         3503.24            15.0          170.69         3332.55
        3939.14            11.0          433.31         3505.83            15.0          171.08         3334.76
        3940.83            11.0          433.49         3507.34            15.0          171.30         3336.04
        3941.85            11.0          433.60         3508.25            15.0          171.44         3336.81
        3945.42            11.0          434.00         3511.42            15.0          171.91         3339.51
        3952.22            11.0          434.74         3517.48            15.0          172.82         3344.65
        3959.01            11.0          435.49         3523.52            15.0          173.73         3349.79
        3959.87            11.0          435.59         3524.28            15.0          173.84         3350.44
        3973.56            11.0          437.09         3536.47            15.0          175.67         3360.80
        3999.99            11.0          440.00         3559.99            15.0          179.20         3380.79
        4001.10            11.0          440.12         3560.98            15.0          179.35         3381.63
        4001.78            11.0          440.20         3561.58            15.0          179.44         3382.15
        4012.38            11.0          441.36         3571.02            15.0          180.85         3390.17
        4021.82            11.0          442.40         3579.42            15.0          182.11         3397.31
        4023.65            11.0          442.60         3581.05            15.0          182.36         3398.69
        4026.49            11.0          442.91         3583.58            15.0          182.74         3400.84
        4028.98            11.0          443.19         3585.79            15.0          183.07         3402.72
        4047.25            11.0          445.20         3602.05            15.0          185.51         3416.54
        4048.46            11.0          445.33         3603.13            15.0          185.67         3417.46
        4050.10            11.0          445.51         3604.59            15.0          185.89         3418.70
        4053.74            11.0          445.91         3607.83            15.0          186.37         3421.45
        4056.12            11.0          446.17         3609.95            15.0          186.69         3423.25
        4056.49            11.0          446.21         3610.28            15.0          186.74         3423.53
        4059.24            11.0          446.52         3612.72            15.0          187.11         3425.62
        4062.24            11.0          446.85         3615.39            15.0          187.51         3427.88
        4082.23            11.0          449.05         3633.18            15.0          190.18         3443.01
        4082.32            11.0          449.06         3633.26            15.0          190.19         3443.08
        4095.23            11.0          450.48         3644.75            15.0          191.91         3452.84
        4106.47            11.0          451.71         3654.76            15.0          193.41         3461.34
        4110.83            11.0          452.19         3658.64            15.0          194.00         3464.64
        4113.63            11.0          452.50         3661.13            15.0          194.37         3466.76
        4122.33            11.0          453.46         3668.87            15.0          195.53         3473.34
        4132.73            11.0          454.60         3678.13            15.0          196.92         3481.21
        4144.02            11.0          455.84         3688.18            15.0          198.43         3489.75
        4156.49            11.0          457.21         3699.28            15.0          200.09         3499.18
        4163.83            11.0          458.02         3705.81            15.0          201.07         3504.74
        4171.05            11.0          458.82         3712.23            15.0          202.04         3510.20
        4192.13            11.0          461.13         3731.00            15.0          204.85         3526.15
        4226.56            11.0          464.92         3761.64            22.5          210.24         3551.40
        4228.96            11.0          465.19         3763.77            22.5          210.72         3553.06
        4240.29            11.0          466.43         3773.86            22.5          212.99         3560.87
        4251.31            11.0          467.64         3783.67            22.5          215.19         3568.47
        4253.99            11.0          467.94         3786.05            22.5          215.73         3570.32
        4254.73            11.0          468.02         3786.71            22.5          215.88         3570.83
        4261.32            11.0          468.75         3792.57            22.5          217.20         3575.38
        4264.99            11.0          469.15         3795.84            22.5          217.93         3577.91
        4265.44            11.0          469.20         3796.24            22.5          218.02         3578.22
        4288.25            11.0          471.71         3816.54            22.5          222.59         3593.95
        4297.53            11.0          472.73         3824.80            22.5          224.45         3600.35
        4311.96            11.0          474.32         3837.64            22.5          227.34         3610.30
        4313.16            11.0          474.45         3838.71            22.5          227.58         3611.13
        4324.54            11.0          475.70         3848.84            22.5          229.86         3618.98
        4327.35            11.0          476.01         3851.34            22.5          230.42         3620.92
        4337.20            11.0          477.09         3860.11            22.5          232.39         3627.71
        4346.46            11.0          478.11         3868.35            22.5          234.25         3634.10
        4350.32            11.0          478.54         3871.78            22.5          235.02         3636.76
        4364.31            11.0          480.07         3884.24            22.5          237.82         3646.41
        4366.59            11.0          480.32         3886.27            22.5          238.28         3647.99
        4381.05            11.0          481.92         3899.13            22.5          241.18         3657.96
        4387.47            11.0          482.62         3904.85            22.5          242.46         3662.39
        4391.25            11.0          483.04         3908.21            22.5          243.22         3664.99
        4395.26            11.0          483.48         3911.78            22.5          244.02         3667.76
        4430.38            11.0          487.34         3943.04            22.5          251.05         3691.98
        4433.14            11.0          487.65         3945.49            22.5          251.61         3693.89
        4451.65            11.0          489.68         3961.97            22.5          255.31         3706.66
        4454.24            11.0          489.97         3964.27            22.5          255.83         3708.44
        4461.72            11.0          490.79         3970.93            22.5          257.33         3713.60
        4477.61            11.0          492.54         3985.07            22.5          260.51         3724.56
        4488.71            11.0          493.76         3994.95            22.5          262.73         3732.22
        4494.55            11.0          494.40         4000.15            22.5          263.90         3736.25
        4498.38            11.0          494.82         4003.56            22.5          264.67         3738.89
        4505.70            11.0          495.63         4010.07            22.5          266.14         3743.94
        4529.65            11.0          498.26         4031.39            22.5          270.93         3760.46
        4530.82            11.0          498.39         4032.43            22.5          271.17         3761.26
        4543.92            11.0          499.83         4044.09            22.5          273.79         3770.30
        4563.07            11.0          501.94         4061.13            22.5          277.62         3783.51
        4567.91            11.0          502.47         4065.44            22.5          278.59         3786.85
        4576.26            11.0          503.39         4072.87            22.5          280.27         3792.61
        4581.40            11.0          503.95         4077.45            22.5          281.30         3796.15
        4583.51            11.0          504.19         4079.32            22.5          281.72         3797.61
        4585.18            11.0          504.37         4080.81            22.5          282.05         3798.76
        4593.50            11.0          505.29         4088.22            22.5          283.72         3804.50
        4602.78            11.0          506.31         4096.47            22.5          285.58         3810.90
        4614.66            11.0          507.61         4107.05            22.5          287.96         3819.09
        4617.70            11.0          507.95         4109.75            22.5          288.56         3821.19
        4629.73            11.0          509.27         4120.46            22.5          290.97         3829.49
        4640.29            11.0          510.43         4129.86            22.5          293.09         3836.77
        4654.18            11.0          511.96         4142.22            22.5          295.87         3846.35
        4658.46            11.0          512.43         4146.03            22.5          296.73         3849.30
        4661.08            11.0          512.72         4148.36            22.5          297.25         3851.11
        4665.76            11.0          513.23         4152.53            22.5          298.19         3854.34
        4665.88            11.0          513.25         4152.63            22.5          298.21         3854.42
        4667.42            11.0          513.42         4154.00            22.5          298.52         3855.48
        4673.87            11.0          514.13         4159.74            22.5          299.81         3859.93
        4674.98            11.0          514.25         4160.73            22.5          300.03         3860.70
        4701.16            11.0          517.13         4184.03            22.5          305.28         3878.76
        4702.75            11.0          517.30         4185.45            22.5          305.60         3879.85
        4714.78            11.0          518.63         4196.15            22.5          308.00         3888.15
        4719.88            11.0          519.19         4200.69            22.5          309.03         3891.67
        4721.71            11.0          519.39         4202.32            22.5          309.39         3892.93
        4732.98            11.0          520.63         4212.35            22.5          311.65         3900.70
        4738.10            11.0          521.19         4216.91            22.5          312.67         3904.23
        4739.64            11.0          521.36         4218.28            22.5          312.98         3905.30
        4745.18            11.0          521.97         4223.21            22.5          314.09         3909.12
        4765.04            11.0          524.15         4240.89            22.5          318.07         3922.82
        4772.31            11.0          524.95         4247.36            22.5          319.53         3927.83
        4782.73            11.0          526.10         4256.63            22.5          321.61         3935.02
        4783.33            11.0          526.17         4257.16            22.5          321.73         3935.43
        4790.20            11.0          526.92         4263.28            22.5          323.11         3940.17
        4794.79            11.0          527.43         4267.36            22.5          324.03         3943.34
        4796.90            11.0          527.66         4269.24            22.5          324.45         3944.79
        4819.27            11.0          530.12         4289.15            22.5          328.93         3960.22
        4843.36            11.0          532.77         4310.59            22.5          333.75         3976.84
        4844.99            11.0          532.95         4312.04            22.5          334.08         3977.96
        4847.38            11.0          533.21         4314.17            22.5          334.56         3979.61
        4852.58            11.0          533.78         4318.80            22.5          335.60         3983.20
        4860.60            11.0          534.67         4325.93            22.5          337.21         3988.73
        4861.66            11.0          534.78         4326.88            22.5          337.42         3989.46
        4867.75            11.0          535.45         4332.30            22.5          338.64         3993.66
        4874.33            11.0          536.18         4338.15            22.5          339.95         3998.20
        4874.85            11.0          536.23         4338.62            22.5          340.06         3998.56
        4883.64            11.0          537.20         4346.44            22.5          341.82         4004.62
        4887.67            11.0          537.64         4350.03            22.5          342.63         4007.40
        4888.07            11.0          537.69         4350.38            22.5          342.71         4007.68
        4890.34            11.0          537.94         4352.40            22.5          343.16         4009.24
        4893.84            11.0          538.32         4355.52            22.5          343.86         4011.66
        4902.97            11.0          539.33         4363.64            22.5          345.69         4017.95
